net,sheet,kind,net_class,impedance_ohm,track_width_mm,pair_gap_mm,pair_with,length_match_group,match_tolerance_mm,notes
FMC_CLK0_M2C_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_CLK0_M2C_P,PAIR:FMC_CLK0_M2C_N/FMC_CLK0_M2C_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_CLK0_M2C_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_CLK0_M2C_N,PAIR:FMC_CLK0_M2C_N/FMC_CLK0_M2C_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_CLK1_M2C_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_CLK1_M2C_P,PAIR:FMC_CLK1_M2C_N/FMC_CLK1_M2C_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_CLK1_M2C_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_CLK1_M2C_N,PAIR:FMC_CLK1_M2C_N/FMC_CLK1_M2C_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA00_CC_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA00_CC_P,PAIR:FMC_LA00_CC_N/FMC_LA00_CC_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA00_CC_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA00_CC_N,PAIR:FMC_LA00_CC_N/FMC_LA00_CC_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA01_CC_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA01_CC_P,PAIR:FMC_LA01_CC_N/FMC_LA01_CC_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA01_CC_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA01_CC_N,PAIR:FMC_LA01_CC_N/FMC_LA01_CC_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA02_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA02_P,PAIR:FMC_LA02_N/FMC_LA02_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA02_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA02_N,PAIR:FMC_LA02_N/FMC_LA02_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA03_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA03_P,PAIR:FMC_LA03_N/FMC_LA03_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA03_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA03_N,PAIR:FMC_LA03_N/FMC_LA03_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA04_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA04_P,PAIR:FMC_LA04_N/FMC_LA04_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA04_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA04_N,PAIR:FMC_LA04_N/FMC_LA04_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA05_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA05_P,PAIR:FMC_LA05_N/FMC_LA05_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA05_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA05_N,PAIR:FMC_LA05_N/FMC_LA05_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA06_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA06_P,PAIR:FMC_LA06_N/FMC_LA06_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA06_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA06_N,PAIR:FMC_LA06_N/FMC_LA06_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA07_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA07_P,PAIR:FMC_LA07_N/FMC_LA07_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
