# schgen preflight — all 23 carrier subsystems, qty 1 board
# run 2026-06-11 (live JLC parts API); command:
#   PYTHONPATH=. python -m schgen preflight bringup_en bringup_en_modules bringup_modules bringup_rails camera debug_boot ethernet fmc hdmi_rx hdmi_tx lcd microsd pd_input pmod power power_mon som_j1 som_j2 som_j3 uart_bridge usb_pd usbc_otg user_io

preflight: 69 LCSC line item(s), 0 part(s) without an LCSC id, 1 board(s)
LCSC         MPN                      lib           stock  need   unit $    ext $  refs
C25803       0603WAF1003T5E           Basic       9689975    34   0.0014   0.0476  bringup_en:R1,bringup_en:R2,bringup_en:R3,bringup_en:R4,bringup_en:R5,bringup_en:R6,bringup_en_modules:R1,bringup_en_modules:R10,bringup_en_modules:R11,bringup_en_modules:R12,bringup_en_modules:R13,bringup_en_modules:R14,bringup_en_modules:R15,bringup_en_modules:R16,bringup_en_modules:R17,bringup_en_modules:R2,bringup_en_modules:R3,bringup_en_modules:R4,bringup_en_modules:R5,bringup_en_modules:R6,bringup_en_modules:R7,bringup_en_modules:R8,bringup_en_modules:R9,bringup_rails:R1,bringup_rails:R2,bringup_rails:R3,bringup_rails:R4,bringup_rails:R5,bringup_rails:R6,bringup_rails:R7,bringup_rails:R8,power:R4,power:R8,usbc_otg:R3
C25804       0603WAF1002T5E           Basic       3130633    27   0.0010   0.0270  bringup_rails:R11,bringup_rails:R12,bringup_rails:R13,debug_boot:R4,debug_boot:R5,debug_boot:R6,fmc:R1,fmc:R2,fmc:R3,fmc:R4,fmc:R5,hdmi_rx:R3,hdmi_tx:R1,hdmi_tx:R2,microsd:R1,microsd:R2,microsd:R3,microsd:R4,microsd:R5,microsd:R6,power:R2,power:R7,power_mon:R1,user_io:R5,user_io:R6,user_io:R7,user_io:R8
C25961       0603WAF2212T5E           Extended      87258     1   0.0018   0.0018  uart_bridge:R2
C262572      AFC07-S40FCA-00          Extended       9871     1   0.2210   0.2210  lcd:J1
C28323       CL21B105KBFNNNE          Basic       1381177     1   0.0229   0.0229  lcd:C2
C2836665     ASP-134603-01            Extended        282     1  17.7506  17.7506  fmc:J1
C2872563     TLV75725PDBVR            Extended        613     1   0.2036   0.2036  fmc:U1
C311983      TPS54302DDCR             Extended      31009     2   0.3353   0.6706  power:U1,power:U2
C3168538     SFW15R-1STE1LF           Extended       4000     1   0.5751   0.5751  camera:J1
C31850       0603WAF2202T5E           Basic       2209692     1   0.0014   0.0014  power:R5
C318884      TS-1187A-B-A-B           Basic       1824221     8   0.0203   0.1624  bringup_rails:SW3,bringup_rails:SW4,bringup_rails:SW5,debug_boot:SW2,user_io:SW1,user_io:SW2,user_io:SW3,user_io:SW4
C3293144     DSHP04TSGER              Extended      32896     2   0.5171   1.0342  bringup_rails:SW1,debug_boot:SW1
C3293147     DSHP08TSGER              Extended      37646     1   0.5864   0.5864  bringup_rails:SW2
C37429       SWPA8040S100MT           Extended       9619     2   0.1447   0.2894  power:L1,power:L2
C38117       SWPA4030S100MT           Extended      98761     1   0.0845   0.0845  lcd:L1
C393094      RLM12FTCMR020            Extended      50938     1   0.0373   0.0373  power_mon:RS4
C42372555    HX JN1.27-2x5 TP H4.9    Extended      11219     1   0.2239   0.2239  debug_boot:J2
C4275        0603WAF750JT5E           Basic        833127     4   0.0020   0.0080  ethernet:R1,ethernet:R2,ethernet:R3,ethernet:R4
C45783       CL21A226MAQNNNE          Basic       2490976     7   0.0948   0.6636  microsd:C3,power:C10,power:C11,power:C5,power:C6,power:C8,usbc_otg:C2
C49284652    DS1024-2x6R2             Extended         45     2   0.1362   0.2724  pmod:J1,pmod:J2
C55136       SY6280AAC                Extended     109611     8   0.0956   0.7648  bringup_modules:U1,bringup_modules:U2,bringup_modules:U3,bringup_modules:U4,bringup_modules:U5,bringup_modules:U6,bringup_modules:U7,bringup_modules:U8
C596319      CC1210KKX7R9BB106        Extended      13613     1   0.3431   0.3431  pd_input:C2
C597931      DF40C-100DS-0.4V(51)     Extended      16800     3   0.8538   2.5614  som_j1:J1,som_j2:J2,som_j3:J3
C7519        USBLC6-2SC6              Extended      20394     1   0.1526   0.1526  usbc_otg:U2
C7562        M24C02-WMN6TP            Extended      69018     1   0.1684   0.1684  hdmi_rx:U1
C7666        SN74LVC1G08DBVR          Extended     257540    12   0.0493   0.5916  bringup_en:U1,bringup_en:U2,bringup_en:U3,bringup_en_modules:U1,bringup_en_modules:U2,bringup_en_modules:U3,bringup_en_modules:U4,bringup_en_modules:U5,bringup_en_modules:U6,bringup_en_modules:U7,bringup_en_modules:U8,bringup_en_modules:U9
C82173       SY7201ABC                Extended      16142     1   0.3093   0.3093  lcd:U1
C8218        0603WAF2000T5E           Basic       4598875    16   0.0015   0.0240  pmod:R1,pmod:R10,pmod:R11,pmod:R12,pmod:R13,pmod:R14,pmod:R15,pmod:R16,pmod:R2,pmod:R3,pmod:R4,pmod:R5,pmod:R6,pmod:R7,pmod:R8,pmod:R9
C8678        SS34                     Basic       3636080     1   0.0300   0.0300  lcd:D1
C91145       TF-01A                   Extended     118289     1   0.1901   0.1901  microsd:J1
C962544      HX5008NLT                Extended         10     1   1.6881   1.6881  ethernet:T1
C969151      CP2102N-A02-GQFN24R      Extended      24473     1   1.8428   1.8428  uart_bridge:U1

TOTAL parts cost: $43.2978 for 1 board(s); Extended reels: 43 (+ JLC feeder fee each)
PREFLIGHT: PASS
