Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
L2,120R,L_0402_1005Metric,36.675000mm,32.975000mm,90.000000,Bottom
L3,120R,L_0402_1005Metric,28.150000mm,34.750000mm,90.000000,Bottom
L4,120R,L_0402_1005Metric,31.749999mm,22.624999mm,0.000000,Bottom
L5,600@100MHz,L_0402_1005Metric,10.800000mm,34.800000mm,-90.000000,Bottom
L7,120R,L_0402_1005Metric,22.470000mm,27.470000mm,180.000000,Bottom
L9,120R,L_0402_1005Metric,32.840000mm,18.130000mm,180.000000,Bottom
Q3,NMOS,SOT-23,43.400000mm,6.937500mm,0.000000,Bottom
R2,22R,R_0402_1005Metric,28.600000mm,26.000000mm,-90.000000,Bottom
R3,1k5,R_0402_1005Metric,10.050000mm,37.000000mm,180.000000,Bottom
R4,1k5,R_0402_1005Metric,10.750000mm,39.800000mm,-90.000000,Bottom
R5,10k,R_0402_1005Metric,19.800000mm,32.500000mm,90.000000,Bottom
R6,10k,R_0402_1005Metric,19.400000mm,30.500000mm,-90.000000,Bottom
R7,4k7,R_0402_1005Metric,33.670000mm,27.790000mm,-45.000000,Bottom
R8,4k7,R_0402_1005Metric,36.475000mm,30.925000mm,90.000000,Bottom
R10,4k7,R_0402_1005Metric,37.220000mm,28.200000mm,180.000000,Bottom
R11,4k7,R_0402_1005Metric,33.225000mm,30.525000mm,-45.000000,Bottom
R12,4k7,R_0402_1005Metric,34.560624mm,28.639376mm,135.000000,Bottom
R13,10k,R_0402_1005Metric,18.400000mm,30.500000mm,90.000000,Bottom
R15,10k,R_0402_1005Metric,42.660000mm,30.350000mm,180.000000,Bottom
R16,2k49,R_0402_1005Metric,41.820000mm,34.490000mm,90.000000,Bottom
R17,4k7,R_0402_1005Metric,39.625000mm,31.975000mm,180.000000,Bottom
R18,4k7,R_0402_1005Metric,40.100000mm,30.250000mm,0.000000,Bottom
R19,4k7,R_0402_1005Metric,39.650000mm,32.925000mm,0.000000,Bottom
R21,22R,R_0402_1005Metric,21.025000mm,34.460000mm,-90.000000,Bottom
R24,8k06,R_0402_1005Metric,21.625000mm,36.000000mm,180.000000,Bottom
R27,100k,R_0402_1005Metric,3.190000mm,15.330000mm,0.000000,Bottom
R30,100k,R_0402_1005Metric,2.260000mm,23.400000mm,0.000000,Bottom
R31,100k,R_0402_1005Metric,2.250000mm,31.125000mm,0.000000,Bottom
R46,100R,R_0201_0603Metric,29.700000mm,17.400000mm,0.000000,Bottom
R47,100R,R_0201_0603Metric,28.924998mm,16.600000mm,0.000000,Bottom
R48,4k7,R_0402_1005Metric,8.360000mm,12.730000mm,-90.000000,Bottom
R49,22R,R_0402_1005Metric,22.100000mm,14.920000mm,180.000000,Bottom
R50,100R,R_0402_1005Metric,13.699998mm,10.925001mm,180.000000,Bottom
R51,22R,R_0402_1005Metric,22.250000mm,11.350000mm,180.000000,Bottom
R52,22R,R_0402_1005Metric,22.100000mm,13.890000mm,180.000000,Bottom
R54,22R,R_0402_1005Metric,22.100000mm,16.960000mm,180.000000,Bottom
R55,22R,R_0402_1005Metric,22.100000mm,19.920000mm,180.000000,Bottom
R57,22R,R_0402_1005Metric,22.100000mm,18.890000mm,180.000000,Bottom
R59,22R,R_0402_1005Metric,22.100000mm,26.100000mm,180.000000,Bottom
R60,22R,R_0402_1005Metric,22.100000mm,21.975001mm,180.000000,Bottom
R63,22R,R_0402_1005Metric,22.100000mm,20.940000mm,180.000000,Bottom
R64,22R,R_0402_1005Metric,22.100000mm,25.090000mm,180.000000,Bottom
R65,22R,R_0402_1005Metric,22.100000mm,23.030000mm,180.000000,Bottom
R68,22R,R_0402_1005Metric,22.090000mm,17.900000mm,180.000000,Bottom
R69,22R,R_0402_1005Metric,22.100000mm,24.080000mm,180.000000,Bottom
R70,22R,R_0402_1005Metric,22.250000mm,8.700000mm,180.000000,Bottom
R71,22R,R_0402_1005Metric,22.250000mm,12.550000mm,180.000000,Bottom
R72,22R,R_0402_1005Metric,22.099998mm,15.950001mm,180.000000,Bottom
R73,22R,R_0402_1005Metric,22.250000mm,10.150000mm,180.000000,Bottom
R76,10k,R_0402_1005Metric,15.700000mm,30.500000mm,90.000000,Bottom
R80,100k,R_0402_1005Metric,12.000000mm,30.500000mm,90.000000,Bottom
R81,100k,R_0402_1005Metric,13.000000mm,30.500000mm,-90.000000,Bottom
R82,100k,R_0402_1005Metric,6.525000mm,31.250000mm,90.000000,Bottom
R83,100k,R_0402_1005Metric,7.125000mm,32.725000mm,0.000000,Bottom
R87,10k,R_0402_1005Metric,18.140000mm,32.800000mm,180.000000,Bottom
R88,10k,R_0402_1005Metric,12.140000mm,7.810000mm,180.000000,Bottom
R89,10k,R_0402_1005Metric,10.230000mm,7.820000mm,180.000000,Bottom
R92,10k,R_0402_1005Metric,31.300000mm,14.050000mm,0.000000,Bottom
R93,10k,R_0402_1005Metric,34.300000mm,14.400000mm,110.000000,Bottom
R97,10k,R_0402_1005Metric,10.800000mm,32.900000mm,90.000000,Bottom
R98,4k7,R_0402_1005Metric,32.840000mm,14.430000mm,-90.000000,Bottom
U5,USB3318,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,24.000000mm,33.125000mm,-90.000000,Bottom
U7,IS21ES08G,BGA153N50P14X14_1150X1300X100,13.064998mm,23.430001mm,-90.000000,Bottom
X1,ASCO,Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm,19.125000mm,34.875000mm,0.000000,Bottom
X3,CMOS_OSC,Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm,26.050000mm,26.650000mm,90.000000,Bottom
